corridorName,direction,tapInStopsName,tapOutStopsName,payCardBank,payCardSex
Jakarta International Stadium - Senen,0.0,Sunter Muara,RSPAD 3,dki,M
JIS - Terminal Muara Angke,1.0,Jln. Industri I,BNN Jakarta Utara,brizzi,M
Bintara - Cipinang Indah,0.0,Sbr. TDP,CPI Belakang 2,dki,M
Ragunan - Gelora Bung Karno,1.0,Masjid Agung,Tirtayasa,dki,M
Tanjung Priok - Pluit,0.0,Penjaringan,Pluit,brizzi,F
Rusun Rawa Bebek - Kodamar,0.0,Bermis 2,Pulo Mas 2,emoney,F
Cawang UKI - Lubang Buaya,1.0,Jln. Gorda,TK Angkasa 5,emoney,F
Term. Rawamangun - Term. Manggarai,0.0,Sbr. RPTRA Pesona Manggarai,St. Manggarai,emoney,F
Kalideres - Bundaran HI via Veteran,0.0,RS Sumber Waras,Jelambar,brizzi,F
Jelambar - Juanda,1.0,RS Tarakan,Jelambar,emoney,M
Rusun Pesakih - Kalideres,0.0,Rusun Pesakih,Kalideres 1,dki,F
PGC 1 - Ancol,0.0,Jembatan Merah,Gunung Sahari Mangga Dua,emoney,F
Tanah Abang - Grogol via Tawakal,1.0,JPO Blok G,Jak Lingko Tanah Abang,online,M
Meruya - Blok M,1.0,Jln. Anggrek Srengseng,Ruko Taman Kb. Jeruk,dki,F
Rusun Rawa Bebek - Kodamar,1.0,Kampung Padaengan 2,At Thahiriah 2,dki,F
Rusun Tambora - Pluit,1.0,Jembatan Dua,Rusun Tambora,online,M
Kampung Melayu - Pulo Gebang via BKT,0.0,Budhaya Santo Agustinus,Bidara Cina,online,M
Pulo Gadung 2 - Dukuh Atas 2,0.0,Velodrome,Halimun,dki,M
Blok M - Universitas Indonesia,0.0,Komplek Al,Masjid Guru Amin,dki,M
Lebak Bulus - Cipulir,1.0,Pool Express Tanah Kusir,Bintaro Park VIew,emoney,F
Harmoni - Jakarta International Stadium,0.0,Pengadilan Negeri Jakut,Sbr. Jembatan Item,emoney,M
Pasar Minggu - Tanah Abang,1.0,Grand Sahid,Jln. Taman Kb. Sirih,dki,F
Pasar Minggu - Velbak,1.0,Sbr. Jln. Barito II,Sbr. Jln. Pangeran Antasari,brizzi,M
Rawamangun - Duren Sawit,1.0,Koperasi Serba Usaha,RS Duren Sawit 2,dki,M
Rusun Pondok Bambu - Walikota Jakarta Timur,1.0,Jln. Teluk Mandar 2,Rusun Pondok Bambu,dki,M
Jambore Cibubur - Pasar Rebo,0.0,Simpang Belly 1,Simpang Belly 2,dki,M
Tanjung Priok - Pluit,1.0,Gedong Panjang,Permai Koja Arah Utara,bni,F
Kalideres - Gelora Bung Karno,1.0,Grogol 2 Arah Selatan,S Parman Podomoro City Arah Timur,dki,F
Kalideres - Puri Kembangan,1.0,St. Kalideres,Jln. H. Hamid Semanan,dki,F
Gondangdia - Senen,0.0,RSPAD 3,Term. Senen,dki,M
Tanjung Priok - Sukapura,0.0,Ramayana Semper,Simpang Labu Cemara,emoney,F
Rusun Kapuk Muara - Penjaringan,1.0,Penjaringan,Rusun Kapuk Muara,dki,M
Lebak Bulus - Ragunan,0.0,Sbr. Kel. Lebak Bulus,Sbr. Jln. Pondok Labu 1A,dki,F
Batusari - Grogol,0.0,Komplek Kodam Jaya Kb. Jeruk,Simpang Tj. Duren Raya,dki,F
Kampung Melayu - Pondok Kelapa,0.0,Sbr. Jln. Taman Enau,Pospol Pondok Kelapa,dki,F
Pluit - Senen,0.0,Pluit 1,Landmark Pluit Auto Plaza,emoney,M
Pasar Minggu - Jagakarsa,1.0,Jln. Jatipadang Poncol,Plaza Oleos,brizzi,F
Ciputat - CSW,1.0,Situ Gintung 1,Pom Bensin Ciputat,dki,M
Sunter Boulevard Barat - Penjaringan,1.0,Museum Fatahillah,Gunung Sahari Mangga Dua,brizzi,F
Tanah Abang - Blok M,1.0,Grand Sahid,Simpang Blok A,emoney,M
Cinere - Bundaran Senayan,1.0,Kantor Lurah Gandul,Jln. Cinere Raya 2,emoney,F
Kampung Rambutan - Monas,1.0,Gatot Subroto Jamsostek Arah Timur,Tanah Merdeka Arah Timur,dki,M
Pulo Gebang - Rorotan,1.0,YPI Asyaadah,Jln. Komarudin Timur Lingkar Timur,emoney,M
Kalibata - Kuningan,1.0,SDN 01 02 03,Sbr. Gg. Trijaya IV Timur,dki,M
Ciledug - Tendean,1.0,Puri Beta 2,CBD Ciledug,emoney,M
Taman Kota - Budi Luhur,1.0,Jln. H Briti B,Sulaiman,brizzi,F
Blok M - Pasar Minggu,1.0,Wolter Monginsidi,Tirtayasa 1,brizzi,F
Pasar Minggu - Tanah Abang,0.0,Tegal Parang 2,Term. Pasar Minggu,online,F
Pulo Gebang - Pulo Gadung 2 via PIK,0.0,Tipar Cakung,PTC Pulo Gadung,dki,M
Tanjung Priok - PGC 2,0.0,Cawang UKI,BKN,dki,M
Grogol - Benhil,1.0,Sbr. Jln. Bendungan Hilir Gg. IV,Pospol Bendungan Hilir,online,M
Harapan Indah - ASMI,0.0,Taman Modern 1,PTC Pulo Gadung,dki,M
Cilangkap - Cililitan,1.0,Ps. Hek 2,SDN Dukuh 01,dki,F
Pulo Gebang - Pulo Gadung 2,0.0,Perumnas Klender,Kampung Sumur,dki,M
Rempoa - Blok M,0.0,Puskesmas Kel. Gunung,Blok M Jalur 3,dki,M
Kalideres - Puri Kembangan,1.0,Sbr. Green Puri,Sbr. Jln. Semanan II,dki,F
Tanjung Priok - Senen via Taman BMW,1.0,Simpang Danau Sunter Utara Barat,Sbr. Sekolah Yanindo Jakarta,emoney,F
JIS - Terminal Muara Angke,0.0,Roda Mas Baja Intan,St. Jayakarta 2,dki,F
PGC - Juanda,1.0,Kramat Sentiong,Gelanggang Remaja,online,M
Pinang Ranti - Pulo Gadung,1.0,Sbr. Jln. Damai,Jln. Masjid Al Wustho,bni,F
Senen - Blok M,0.0,Sekolah Penabur Gunung Sahari,Flyover Karet 2,dki,M
Kp. Rambutan - Kalisari,1.0,Kantor Kelurahan Baru,Simpang Pertengahan Cijantung,online,M
Ciledug - Tendean,0.0,Puri Beta 1,Kebayoran Lama,brizzi,F
Lenteng Agung - Aseli,0.0,SDN Jagakarsa 05,Masjid Al Birru Warrohmah,dki,F
Grogol - Meruya via Roxy,0.0,Sbr. Komplek DPR III,Perumahan Walikota Jakbar 2,brizzi,M
Stasiun Tebet - BNN,1.0,BNN LRT,St. Tebet 1,brizzi,F
Kalideres - Bundaran HI via Veteran,1.0,Dispenda Samsat Barat,Pesakih,dki,F
Kampung Rambutan - Pondok Gede,1.0,Masjid Nur Alimin 2,Pondok Molek,dki,M
Pulo Gebang - Pulo Gadung 2 via PIK,1.0,Romantis PIK Penggilingan,Walikota Jakarta Timur,online,M
Bintara - Cipinang Indah,0.0,Puri Swadaya,Mall Cipinang Indah 2,online,M
Ragunan - MH Thamrin,0.0,Kuningan Timur,Ragunan,dki,F
Rusun Kapuk Muara - Penjaringan,1.0,Penjaringan,Rusun Kapuk Muara,dki,M
Dukuh Atas - Casablanca via Epicentrum Raya,1.0,Puri Imperium,Simpang Kawi Raya,flazz,M
Pelabuhan Kaliadem - Kota,1.0,Kali Besar Barat,Muara Karang Raya,dki,F
Kalimalang - Duren Sawit,1.0,Gereja HKBP Duren Sawit,Simpang Serdang Swadaya Raya 1,brizzi,M
Cibubur - BKN,0.0,Cibubur Junction,BKN,brizzi,F
Kebayoran Lama - Tanah Abang,0.0,Univ. Satya Negara,Jak Lingko Tanah Abang,dki,F
Lebak Bulus - Pasar Baru via Tomang,0.0,Grogol 2 Arah Selatan,Pasar Baru,dki,M
Cililitan - Dwikora,1.0,Cililitan Besar 1,PGC Dalam,dki,F
Rusun Pondok Bambu - Walikota Jakarta Timur,0.0,Kasi Dikdas 1,Jln. I Gusti Ngurah Rai 1,dki,M
Grogol - Benhil,1.0,Sbr. RS Pelni Petamburan,Dipo Tower,dki,M
Tongtek - Tebet Eco Park (TEP) - Cililitan,0.0,Gebu Minang,Yayasan Mambaul Ula,dki,M
Rawa Buaya - Rawa Kompeni,0.0,Simpang Prepedan Benda Raya,MTsN 37,emoney,F
Rusun Jatinegara Kaum - Pulo Gadung,1.0,Ananda Pulo Gadung,Pintu Kawasan 1,dki,F
Bintaro - Fatmawati,0.0,Bintaro Xchange,St. MRT Fatmawati,dki,F
Senen - Pisangan Baru,1.0,BPPK Jakarta,RSPAD 3,dki,M
Kalideres - Puri Kembangan,1.0,Jln. Madrasah I Bojong Raya,Sbr. SMPN 205,dki,M
Pasar Minggu - Jagakarsa,1.0,Gg. H. Yusuf Jati Pdang,Jln. Mujair Raya,dki,F
Senen - Pulo Gadung,1.0,SD Paskalis 1,Simpang Rawasari Ahmad Yani,dki,M
Terminal Tanah Merah - Pulo Gadung,0.0,Simpang Jln. Bongo Raya,Sbr. SDN Pegangsaan Dua 07,emoney,F
Stasiun Tebet - Karet via Underpass,0.0,Sahid Sudirman Center,Karet Pedurenan 2,emoney,F
Roxy - Benhil,0.0,St. Karet,Kel. Benhil,online,F
Rusun Komarudin - Penggilingan,1.0,Penggilingan,Rusun Komarudin,emoney,M
Tanah Abang - Kebayoran Lama,0.0,Pospol Jati Bunder,RS Medika Permata Hijau 4,dki,M
Pasar Minggu - Tanah Abang,1.0,RS Tria Dipa,Pospol Jati Bunder,emoney,M
Kebayoran Lama - Tanah Abang,0.0,Kesatrian Kowal Cut Nyak Dhien,Pospol Jati Bunder,dki,F
Tongtek - Tebet Eco Park (TEP) - Cililitan,1.0,Kalibata City 2,STEKPI,emoney,F
Matraman Baru - Ancol,1.0,Pal Putih,Tegalan,emoney,M
Stasiun Tebet - Karet via Patra Kuningan,0.0,Kemenkes 2,Sampoerna Strategic,dki,F
Pulo Gebang - Pulo Gadung 2 via PIK,0.0,Taman Elok 1,Raya Penggilingan,flazz,F
Tanjung Priok - Pluit,0.0,Sunter Boulevard Barat,Kali Besar Barat,flazz,M
Cibubur - Balai Kota,0.0,Benhil 3,Grand Sahid,dki,F
Lebak Bulus - Andara,1.0,SDN Pondok Labu 11,Jln. Baros,dki,F
PGC 2 - Grogol 2,1.0,Slipi Petamburan Arah Selatan,Semanggi,dki,F
Pulo Gadung 2 - Tosari,1.0,Pasar Rumput,Matraman 2,dki,F
Pasar Minggu - Jagakarsa,1.0,Gelanggang Remaja Pasar Minggu,Jln. Gabus Raya,online,M
Ciputat - Kampung Rambutan,0.0,SMK Darussalam,Pusdiklat Kemenag 1,dki,M
Ciledug - Tendean,1.0,JORR,Adam Malik,brizzi,F
Terminal Tanjung Priok - Ancol Barat,0.0,Gunung Sahari Mangga Dua Timur,Jln. Ancol Barat 6,dki,M
Poris Plawad - Bundaran Senayan,1.0,RS Harapan Kita Arah Utara,Term. Poris Plawad,emoney,F
Cililitan - Condet,0.0,Lippo Mall Kramat Jati,Jln. Mesjid Al Mabruk,emoney,F
Ragunan - Gelora Bung Karno,0.0,Tirtayasa,Masjid Agung,flazz,M
Kampung Melayu - Pulo Gebang via BKT,0.0,Masjid Jami At Taqwa 2,SMAN 100,emoney,M
Kampung Melayu - Duren Sawit,0.0,Simpang Pahlawan Revolusi 1,RS Duren Sawit 2,dki,F
Pulo Gebang - Matraman,0.0,St. Jatinegara 2,Jatinegara RS Premier,dki,F
Pesanggrahan - Blok M,0.0,Univ. Moestopo Bintaro,Bintaro Park VIew,flazz,F
Pantai Maju - Kota,0.0,Pantai Maju,SD Diakonia 1,emoney,M
Pasar Minggu - Jagakarsa,1.0,18 Office Park,Gg. Puskesmas Kebagusan Raya,dki,M
Senen - Blok M,0.0,Balai Kota 1,Bundaran Senayan 1,dki,F
Pancoran - Kampung Rambutan,0.0,Cikoko Stasiun Cawang Arah Barat,Pancoran Tugu Arah Barat,emoney,M
Senen - Lebak Bulus,1.0,Lebak Bulus,Kuningan Timur,emoney,M
Monas - Pantai Indah Kapuk,1.0,Monas 2,Monas 3,flazz,F
Kampung Melayu - Tanah Abang via Cikini,1.0,PTUN Jakarta,Term. Kampung Melayu 2,dki,F
Bulak Turi - Tanjung Priok,0.0,Pertamina Kilang Minyak,Jln. Elpa Putih II,flazz,F
Pulo Gebang - Pulo Gadung 2,0.0,Kampung Sumur,Flyover Klender,dki,F
Pinang Ranti - Pramuka,0.0,Garuda Taman Mini,BKN,emoney,F
Tongtek - Tebet Eco Park (TEP) - Cililitan,0.0,Sbr. Jln. Cikoko Timur I,St. Duren Kalibata 4,dki,M
Kampung Melayu - Pondok Kelapa,1.0,Sbr. Dirjen Anggaran,Sbr. Klinik Win Medika,dki,F
Pulo Gadung - Monas,0.0,Rawa Selatan,Pecenongan,dki,F
Ciledug - Tendean,1.0,CSW 1,Velbak,emoney,F
Pondok Kelapa - BKN,1.0,Komplek Dolog Jaya,Jln. Swakarsa III Pondok Kelapa,emoney,M
Pulo Gebang - Matraman,1.0,Pasar Enjo,Imigrasi Jakarta Timur,flazz,F
Puri Beta - Pancoran Barat,1.0,Kebayoran Lama,JORR,dki,M
Rempoa - Blok M,1.0,One Park Residences,Jln. Bungur,dki,M
Kampung Rambutan - Pondok Gede,0.0,Jln. Kramat Lubang Buaya,Pertigaan Cedang 1,dki,F
Kampung Rambutan - Monas,0.0,Pancoran Tugu Arah Barat,Bundaran HI,emoney,F
Palem Semi - Bundaran Senayan,1.0,GBK Pintu 7,Palem Semi 1,online,M
Pelabuhan Kaliadem - Kota,0.0,SMKN 56,Museum Fatahillah,emoney,F
Pasar Minggu - Tanah Abang,0.0,Grand Pasar Minggu,Pasar Minggu,dki,F
Blok M - Kota,1.0,Karet Sudirman,Masjid Agung,emoney,M
Rusun Pesakih - Kalideres,1.0,Pertamina Kalideres Daan Mogot,Rusun Pesakih,dki,M
Kampung Rambutan - Pinang Ranti,0.0,SDN Dukuh 01,Sbr. Polsek Makasar,emoney,F
Tanjung Priok - Jembatan Item,0.0,Simpang Jln. Cemara,Puskesmas Sunter Agung I,brizzi,M
Andara - Stasiun Universitas Pancasila,0.0,Sbr. Sekolah Islam Al Azhar Jagakarsa,Gg. H. Ali,dki,F
Jakarta International Stadium - Senen,0.0,Danau Agung 1,Honda Letjen Suprapto,flazz,M
Batusari - Grogol,1.0,Simpang Tj. Duren Timur 5,Sbr. Jln. Angsana Kemanggisan,online,M
Pinang Ranti - Kampung Rambutan,0.0,Gg. Suka Damai,Jln. Kramat I Rawabinong,emoney,F
Kampung Rambutan - Tanjung Priok,1.0,Cempaka Putih,Plumpang Pertamina Arah Utara,dki,M
Cililitan - Kp. Pulo,0.0,Graha Dirgantara,Sbr. Jln. Masjid Al Munir,dki,M
Summarecon Bekasi - BNN,0.0,Jatibening 1,Cawang Blue Bird,brizzi,M
Terminal Kalideres - Terminal Muara Angke,0.0,Karang Asri,Term. Muara Angke 2,dki,F
Rusun Rawa Bebek - Bukit Duri,0.0,Penggilingan,Perumnas Klender,online,M
Rusun Cakung Barat - Pulo Gadung,1.0,Jln. Anggrek Raya,PTC Pulo Gadung,bni,M
Pulo Gebang - Pulo Gadung 2,1.0,Pasar Pulo Gadung,Walikota Jakarta Timur,dki,M
Rusun Flamboyan - Cengkareng,0.0,RSUD Boulevard Raya,Mall Taman Palem 3,dki,M
Pulo Gadung - Monas,0.0,Bermis,Atrium,dki,F
PGC 1 - Ancol,0.0,Matraman Baru,Kramat Sentiong,emoney,F
Pasar Minggu - Tanah Abang,1.0,Term. Pasar Minggu 2,MH Thamrin,flazz,M
Jakarta International Stadium - Senen,0.0,Sekolah Penabur Gunung Sahari,Term. Senen,brizzi,M
Kampung Rambutan - Lebak Bulus,1.0,Gelanggang TB Simatupang,Jln. Mastrip,emoney,F
Andara - Stasiun Universitas Pancasila,0.0,Jln. H. Terin Pangkalan Jati,Kav Polri Blok E Jagakarsa,brizzi,F
Blok M - PGC,1.0,Jln. Poncol Jaya 1,PLN Pusat,brizzi,F
Taman Waduk Papanggo - Kota Tua,0.0,Jln. Hidup Baru,Mangga Dua Square,brizzi,F
Cilangkap - Cililitan,1.0,Simpang Mabes Hankam Raya Ceger,Panti Sosial Bina Laras,emoney,F
Dukuh Atas - Casablanca via Epicentrum Raya,0.0,Casablanca,Sbr. Multivision Tower,brizzi,F
Rusun Jatinegara Kaum - Pulo Gadung,0.0,Masjid Jami Al Makmur Klender,Transjakarta Pool Klender,brizzi,F
Harmoni - Jakarta International Stadium,1.0,Simpang Danau Sunter Utara Barat,Jembatan Item,dki,M
Rusun Jati Rawasari - Senen,1.0,Sbr. SDN Johar Baru 10,Rusun Jati Rawasari,emoney,F
Roxy - Benhil,1.0,Sbr. Mess Polwan Esthi Bhakti Warapsari,Kel. Kb. Kacang,dki,M
Bintaro - Blok M,0.0,Kantor Pos Kebayoran Lama,Pasar Kebayoran Lama,dki,M
Senen - Pisangan Baru,1.0,Jln. Pramuka 1,BPPK Jakarta,emoney,M
Stasiun Manggarai - Blok M,0.0,Patra Kuningan,Gatot Subroto Jamsostek Arah Barat,emoney,M
Dwikora - Penas Kalimalang,1.0,Mabes Au Dinas Psikologi,Simpang Mandala Maphalindo,dki,F
PGC 1 - Ancol,0.0,Cawang Otista,Gelanggang Remaja,dki,F
PGC - Juanda,0.0,Matraman 1,Kwitang,emoney,M
Puri Beta - Kuningan (Express),0.0,Kuningan Madya,Latuharhary,dki,M
Kampung Rambutan - Tanjung Priok,0.0,Cempaka Mas,Kayu Putih Rawasari,flazz,F
Pinang Ranti - Pramuka,0.0,Garuda Taman Mini,BKN,bni,F
Pasar Minggu - Ciganjur via KB Ragunan,1.0,Sbr. SDN Cipedak 05,Tanah Baru Cipedak,dki,F
Stasiun Palmerah - Bundaran Senayan,0.0,Senayan JCC Arah Timur,Bundaran Senayan,emoney,F
Bekasi Timur - Cawang,1.0,Superindo Bulak Kapal 2,Taman Margahayu 2,online,M
Rusun Waduk Pluit - Penjaringan,0.0,SPBU Gedong Panjang,Kel. Penjaringan,dki,F
Jakarta International Stadium - Senen,1.0,Jembatan Item,JIS,dki,M
JIS - Terminal Muara Angke,0.0,Sbr. Waduk Pluit,SD Diakonia 2,brizzi,M
Bintara - Cipinang Indah,1.0,Sbr. Minimarket Pondok Kelapa,Minimarket Pondok Kopi,dki,M
Matraman Baru - Ancol,0.0,Slamet Riyadi,Budi Utomo,online,M
Ragunan - Gelora Bung Karno,0.0,Duren Tiga,Masjid Agung,dki,M
Tanjung Priok - Pluit,1.0,Gunung Sahari Mangga Dua,Permai Koja Arah Utara,brizzi,F
Rusun Rawa Bebek - Kodamar,1.0,Kelapa Gading Utama,Walikota Jakarta Timur 1,emoney,F
Cawang UKI - Lubang Buaya,0.0,Pertigaan Jengki Raya,SMA Angkasa 2,emoney,F
Pulo Gadung - Rawa Buaya via Balai Kota,1.0,Pulo Mas,Pulo Gadung 1,dki,M
Term. Rawamangun - Term. Manggarai,1.0,Kel. Rawamangun,Puskesmas Rawamangun,emoney,F
Kalideres - Bundaran HI via Veteran,1.0,Sumur Bor,Grogol 1,brizzi,F
Jelambar - Juanda,0.0,Petojo,Juanda,emoney,M
Rusun Pesakih - Kalideres,1.0,Kalideres 1,Pertamina Kalideres Daan Mogot,dki,F
PGC 1 - Ancol,1.0,BNN LRT,PGC 2,emoney,F
Tanah Abang - Grogol via Tawakal,0.0,Jln. Kota Bambu Raya,Kel. Jati Pulo,online,M
Meruya - Blok M,0.0,Jln. Cipulir 1,CSW 2,dki,F
Rusun Rawa Bebek - Kodamar,0.0,Pengadilan Negeri Jaktim 2,Simpang Tiga 1,dki,F
Rusun Tambora - Pluit,0.0,Jembatan Dua,Pluit,online,M
Kampung Melayu - Pulo Gebang via BKT,1.0,Ps. Inpres Cipinang Besar,Taman Buaran Indah,online,M
Pulo Gadung 2 - Dukuh Atas 2,1.0,Velodrome,Dukuh Atas 2,dki,M
Blok M - Universitas Indonesia,1.0,SPBU Jln. Guru,SMAN 38,dki,M
Lebak Bulus - Cipulir,0.0,Jln. Metro Duta 1,Jln. Lebak Bulus Raya,emoney,F
Harmoni - Jakarta International Stadium,1.0,Pecenongan,Sunter Icon,emoney,M
Pasar Minggu - Tanah Abang,0.0,Balai Kartini,Nifarro Park,dki,F
Pasar Minggu - Velbak,0.0,Simpang Tunda Bara TB Simatupang,Simpang Darmawangsa X,brizzi,M
Rawamangun - Duren Sawit,0.0,Gg. Subuh,Simpang Cipinang Kebembem 1,dki,M
Rusun Pondok Bambu - Walikota Jakarta Timur,0.0,Rusun Pondok Bambu,Masjid Jami Al Barkah 1,dki,M
Jambore Cibubur - Pasar Rebo,1.0,Gelanggang Remaja Ciracas,Jln. Dahlia KDW,dki,M
Tanjung Priok - Pluit,0.0,Mangga Dua,Kali Besar Barat,bni,F
Kalideres - Gelora Bung Karno,0.0,Dispenda Samsat Barat,Jembatan Baru,dki,F
Kalideres - Puri Kembangan,0.0,St. Rawa Buaya,Pool Blue Bird Puri 2,dki,F
Tanjung Priok - Sukapura,1.0,RSUD Koja,Taman Barito Sembar,emoney,F
Rusun Kapuk Muara - Penjaringan,0.0,Rusun Kapuk Muara,Penjaringan,dki,M
Lebak Bulus - Ragunan,1.0,PLN Corporate University 2,Sbr. SMAN 66,dki,F
Batusari - Grogol,1.0,Ps. Kopro 2,Simpang Kemanggisan Ilir Raya,dki,F
Pasar Minggu - Jagakarsa,0.0,Masjid Darussalam Cipedak,Simpang Warung Sila Rindang,brizzi,F
Ciputat - CSW,0.0,Yado I,Antena II,dki,M
Sunter Boulevard Barat - Penjaringan,0.0,Mangga Dua,Bandengan Selatan,brizzi,F
Cinere - Bundaran Senayan,0.0,Gelora Bung Karno 1,Bundaran Senayan 1,emoney,F
Kampung Rambutan - Monas,0.0,Bank Indonesia Arah Utara,Monas,dki,M
Pulo Gebang - Rorotan,0.0,Masjid Al Barkah 2,Gempol Baru 2,emoney,M
Kalibata - Kuningan,0.0,Sbr. SMA Islam As Syafiiyah 01,Puri Imperium,dki,M
Taman Kota - Budi Luhur,0.0,Sbr. TK Al Husna Petukangan Utara,Simpang Kembangan Raya 2,brizzi,F
BSD - Jelambar,1.0,Melati Mas Residence 2,Term. BSD,dki,M
Blok M - Pasar Minggu,0.0,Simpang Rawa Barat,Jati Padang 2,brizzi,F
Pasar Minggu - Tanah Abang,1.0,Explorer Tanah Abang,JPO Blok G,online,F
Pulo Gebang - Pulo Gadung 2 via PIK,1.0,Pospol PIK Penggilingan,Walikota Jakarta Timur,dki,M
Tanjung Priok - PGC 2,1.0,Stasiun Jatinegara Arah Utara,Permai Koja Arah Utara,dki,M
Grogol - Benhil,0.0,Koramil Jln. Brigjen Katamso,STIE IBEK,online,M
Harapan Indah - ASMI,1.0,Cakung United Tractors,Pasar Modern Harapan Indah,dki,M
Cilangkap - Cililitan,0.0,Jln. Damai PBSI Cilangkap,RS Restu Kasih,dki,F
Pulo Gebang - Pulo Gadung 2,1.0,Pasar Pulo Gadung,Flyover Radin Inten,dki,M
Kalideres - Puri Kembangan,0.0,Jln. Puri Lingkar Dalam,Puri Kembangan,dki,F
Tanjung Priok - Senen via Taman BMW,0.0,Ps. Kemayoran,RSPAD 3,emoney,F
JIS - Terminal Muara Angke,1.0,SMKN 56,Pangeran Jayakarta 1,dki,F
Ragunan - MH Thamrin via Kuningan,0.0,Buncit Indah,Imigrasi,dki,F
Pinang Ranti - Pulo Gadung,0.0,SD Jatinegara Kaum,Pintu Kawasan 2,bni,F
Senen - Blok M,1.0,Taman Mataram,MH Thamrin 2,dki,M
Kp. Rambutan - Kalisari,0.0,Sbr. Gg. Rezeki Cijantung,Gg. Bidan Baru,online,M
Ciledug - Tendean,1.0,Tirtayasa,Cipulir,brizzi,F
Lenteng Agung - Aseli,1.0,Sbr. Kec. Jagakarsa,Jln. Aselih,dki,F
Grogol - Meruya via Roxy,1.0,Sbr. Univ. Mercu Buana,Simpang Meruya Ilir 1,brizzi,M
Terminal Tanjung Priok - Ancol Barat,1.0,Polsek Pademangan,Jln. R. E. Martadinata,dki,M
Stasiun Tebet - BNN,0.0,Bidara Cina,BNN LRT,brizzi,F
Kalideres - Bundaran HI via Veteran,0.0,Indosiar,Jelambar,dki,F
Kampung Rambutan - Pondok Gede,0.0,Pertigaan Cedang 1,Pertigaan H. Sadjim 3,dki,M
Pulo Gebang - Pulo Gadung 2 via PIK,0.0,Aneka PIK Penggilingan,United Tractors 1,online,M
Bintara - Cipinang Indah,1.0,Taman Pangkalan Jati Kalimalang,Jln. Teluk Mandar 2,online,M
Ragunan - MH Thamrin,1.0,Pejaten,Buncit Indah,dki,F
Rusun Kapuk Muara - Penjaringan,0.0,Rusun Kapuk Muara,Penjaringan,dki,M
Dukuh Atas - Casablanca via Epicentrum Raya,0.0,The Wave,Kota Kasablanka,flazz,M
Pelabuhan Kaliadem - Kota,0.0,Museum Fatahillah,Kota,dki,F
Kalimalang - Duren Sawit,0.0,Jln. Swakarsa IV Pondok Kelapa,Klapa Village Pondok Kelapa,brizzi,M
Rawamangun - Duren Sawit,1.0,Velodrome 1,Komplek Wijaya Kusuma 1,brizzi,M
Cibubur - BKN,1.0,Buperta Cibubur,Cibubur Junction,brizzi,F
Kebayoran Lama - Tanah Abang,1.0,Jak Lingko Tanah Abang,Masjid Jami Al Makmur 1,dki,F
Lebak Bulus - Pasar Baru via Tomang,1.0,Permata Hijau,Lebak Bulus,dki,M
Rusun Pondok Bambu - Walikota Jakarta Timur,1.0,Flyover Radin Inten 1,Rusun Pondok Bambu,dki,M
Tongtek - Tebet Eco Park (TEP) - Cililitan,1.0,Kalibata City 1,Sbr. Kalibata Square,dki,M
Rawa Buaya - Rawa Kompeni,1.0,Jln. Prima,Sbr. SMAN 95,emoney,F
Tanah Abang - Kebayoran Lama,0.0,DPP FPI,Jln. Kemandoran VII Grogol Utara,dki,M
Rusun Jatinegara Kaum - Pulo Gadung,0.0,Masjid Assuada,Jiep 2,dki,F
Bintaro - Fatmawati,1.0,Jln. Kaimun Jaya,Bintaro Xchange,dki,F
Senen - Pisangan Baru,0.0,Jln. Kemuning Raya 1,Jln. Rasamala,dki,M
Ragunan - Gelora Bung Karno,1.0,Gelora Bung Karno,Buncit Indah,dki,F
Kalideres - Puri Kembangan,0.0,Gg. H. Doel Bojong Raya,Sbr. Jln. Ruby Kembangan Utara,dki,M
Pasar Minggu - Jagakarsa,0.0,Sbr. Jln. H. Matasan,Jatipadang Raya,dki,F
Senen - Pulo Gadung,0.0,Atrium 1,Sekolah Penabur Gunung Sahari,dki,M
Senen - Blok M,0.0,Telkom Grapari,Taman Patimura,dki,F
Kampung Melayu - Tanah Abang,1.0,London School,Kampung Melayu Besar 2,online,F
Terminal Tanah Merah - Pulo Gadung,1.0,Jln. Kuning Tua,Grii Kelapa Gading,emoney,F
Stasiun Tebet - Karet via Underpass,1.0,Gelora Bung Karno 1,Bundaran Senayan 1,emoney,F
Rusun Komarudin - Penggilingan,0.0,Walikota Jakarta Timur,Penggilingan,emoney,M
Tanah Abang - Kebayoran Lama,1.0,Jln. Madrasah II Sukabumi Selatan,Simpang Rawa Belong Palmerah Barat,dki,M
Pasar Minggu - Tanah Abang,0.0,Otorita Asahan,Mja Rawa Bambu,emoney,M
Kebayoran Lama - Tanah Abang,1.0,Sbr. RSUD Tanah Abang,TPU Karet Bivak,dki,F
Tongtek - Tebet Eco Park (TEP) - Cililitan,0.0,Sbr. Mushola Al Hidayah Bukit Duri,St. Duren Kalibata 2,emoney,F
Matraman Baru - Ancol,0.0,Budi Utomo,Pademangan,emoney,M
Stasiun Tebet - Karet via Patra Kuningan,1.0,Sawo Kecik Raya,Stasiun Tebet,dki,F
Pantai Maju - Kota,1.0,Mayang Permai,Simpang Mandara Permai 2,dki,F
Pulo Gebang - Pulo Gadung 2 via PIK,1.0,Pool Taksi,Pajak Dan Retribusi Cakung,flazz,F
